@RELATION FEATURE_COSTS_MIPVerifySDP_SCIPfeatureset


@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE StaticOn NUMERIC
@ATTRIBUTE StaticOff NUMERIC
@ATTRIBUTE Dynamic NUMERIC



@DATA
mip1, 1, 1.47, 0, 21.27
mip10, 1, 1.31, 0, 18.360000000000003
mip100, 1, 1.4, 0, 30.25
mip1000, 1, 2.53, 0, 36.11
mip10000, 1, 1.94, 0, 14.92
mip1001, 1, 1.67, 0, 17.4
mip1002, 1, 1.28, 0, 12.690000000000001
mip1003, 1, 1.3, 0, 16.23
mip1004, 1, 1.24, 0, 11.01
mip1005, 1, 1.5, 0, 16.41
mip1006, 1, 1.34, 0, 25.330000000000002
mip1007, 1, 1.32, 0, 26.73
mip1008, 1, 1.41, 0, 26.74
mip1009, 1, 1.4, 0, 13.799999999999999
mip101, 1, 1.45, 0, 21.240000000000002
mip1010, 1, 1.37, 0, 39.03
mip1011, 1, 1.28, 0, 14.430000000000001
mip1012, 1, 1.34, 0, 23.21
mip1013, 1, 1.54, 0, 6.18
mip1014, 1, 1.35, 0, 16.529999999999998
mip1015, 1, 1.64, 0, 11.58
mip1016, 1, 1.51, 0, 19.49
mip1017, 1, 1.29, 0, 27.37
mip1018, 1, 1.35, 0, 61.49
mip1019, 1, 1.32, 0, 17.68
mip102, 1, 1.24, 0, 30.310000000000002
mip1020, 1, 1.44, 0, 19.08
mip1021, 1, 1.41, 0, 22.4
mip1022, 1, 1.57, 0, 23.759999999999998
mip1023, 1, 1.44, 0, 16.15
mip1024, 1, 1.23, 0, 13.809999999999999
mip1025, 1, 1.39, 0, 20.65
mip1026, 1, 1.34, 0, 14.39
mip1027, 1, 1.48, 0, 36.260000000000005
mip1028, 1, 1.4, 0, 16.380000000000003
mip1029, 1, 1.51, 0, 38.620000000000005
mip103, 1, 1.46, 0, 32.44
mip1030, 1, 1.43, 0, 28.39
mip1031, 1, 1.49, 0, 14.129999999999999
mip1032, 1, 1.31, 0, 12.49
mip1033, 1, 1.32, 0, 9.23
mip1034, 1, 1.29, 0, 13.52
mip1035, 1, 1.47, 0, 15.88
mip1036, 1, 1.35, 0, 38.49
mip1037, 1, 1.33, 0, 14.22
mip1038, 1, 1.46, 0, 23.45
mip1039, 1, 1.51, 0, 13.540000000000001
mip104, 1, 1.26, 0, 16.33
mip1040, 1, 1.59, 0, 13.49
mip1041, 1, 1.58, 0, 16.799999999999997
mip1042, 1, 1.49, 0, 17.270000000000003
mip1043, 1, 1.35, 0, 13.09
mip1044, 1, 1.32, 0, 27.74
mip1045, 1, 1.4, 0, 23.42
mip1046, 1, 1.44, 0, 14.25
mip1047, 1, 1.5, 0, 27.45
mip1048, 1, 1.35, 0, 17.5
mip1049, 1, 1.48, 0, 23.49
