@RELATION FEATURE_RUNSTATUS_MIPVerifySDP_SCIPfeatureset


@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE StaticOn {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE StaticOff {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE Dynamic {ok,timeout,memout,presolved,crash,unknown,other}



@DATA
mip1, 1, ok, ok, ok
mip10, 1, ok, ok, ok
mip100, 1, ok, ok, ok
mip1000, 1, ok, ok, ok
mip10000, 1, ok, ok, ok
mip1001, 1, ok, ok, ok
mip1002, 1, ok, ok, ok
mip1003, 1, ok, ok, ok
mip1004, 1, ok, ok, ok
mip1005, 1, ok, ok, ok
mip1006, 1, ok, ok, ok
mip1007, 1, ok, ok, ok
mip1008, 1, ok, ok, ok
mip1009, 1, ok, ok, ok
mip101, 1, ok, ok, ok
mip1010, 1, ok, ok, ok
mip1011, 1, ok, ok, ok
mip1012, 1, ok, ok, ok
mip1013, 1, ok, ok, ok
mip1014, 1, ok, ok, ok
mip1015, 1, ok, ok, ok
mip1016, 1, ok, ok, ok
mip1017, 1, ok, ok, ok
mip1018, 1, ok, ok, ok
mip1019, 1, ok, ok, ok
mip102, 1, ok, ok, ok
mip1020, 1, ok, ok, ok
mip1021, 1, ok, ok, ok
mip1022, 1, ok, ok, ok
mip1023, 1, ok, ok, ok
mip1024, 1, ok, ok, ok
mip1025, 1, ok, ok, ok
mip1026, 1, ok, ok, ok
mip1027, 1, ok, ok, ok
mip1028, 1, ok, ok, ok
mip1029, 1, ok, ok, ok
mip103, 1, ok, ok, ok
mip1030, 1, ok, ok, ok
mip1031, 1, ok, ok, ok
mip1032, 1, ok, ok, ok
mip1033, 1, ok, ok, ok
mip1034, 1, ok, ok, ok
mip1035, 1, ok, ok, ok
mip1036, 1, ok, ok, ok
mip1037, 1, ok, ok, ok
mip1038, 1, ok, ok, ok
mip1039, 1, ok, ok, ok
mip104, 1, ok, ok, ok
mip1040, 1, ok, ok, ok
mip1041, 1, ok, ok, ok
mip1042, 1, ok, ok, ok
mip1043, 1, ok, ok, ok
mip1044, 1, ok, ok, ok
mip1045, 1, ok, ok, ok
mip1046, 1, ok, ok, ok
mip1047, 1, ok, ok, ok
mip1048, 1, ok, ok, ok
mip1049, 1, ok, ok, ok
mip105, 1, ok, ok, ok
mip1050, 1, ok, ok, ok
mip1051, 1, ok, ok, ok
mip1052, 1, ok, ok, ok
mip1053, 1, ok, ok, ok
mip1054, 1, ok, ok, ok
mip1055, 1, ok, ok, ok
mip1056, 1, ok, ok, ok
mip1057, 1, ok, ok, ok
mip1058, 1, ok, ok, ok
mip1059, 1, ok, ok, ok
mip106, 1, ok, ok, ok
mip1060, 1, ok, ok, ok
mip1061, 1, ok, ok, ok
mip1062, 1, ok, ok, ok
mip1063, 1, ok, ok, ok
mip1064, 1, ok, ok, ok
mip1065, 1, ok, ok, ok
mip1066, 1, ok, ok, ok
mip1067, 1, ok, ok, ok
mip1068, 1, ok, ok, ok
mip1069, 1, ok, ok, ok
mip107, 1, ok, ok, ok
mip1070, 1, ok, ok, ok
mip1071, 1, ok, ok, ok
mip1072, 1, ok, ok, ok
mip1073, 1, ok, ok, ok
mip1074, 1, ok, ok, ok
mip1075, 1, ok, ok, ok
mip1076, 1, ok, ok, ok
mip1077, 1, ok, ok, ok
mip1078, 1, ok, ok, ok
mip1079, 1, ok, ok, ok
mip108, 1, ok, ok, ok
mip1080, 1, ok, ok, ok
mip1081, 1, ok, ok, ok
mip1082, 1, ok, ok, ok
mip1083, 1, ok, ok, ok
mip1084, 1, ok, ok, ok
mip1085, 1, ok, ok, ok
mip1086, 1, ok, ok, ok
mip1087, 1, ok, ok, ok
mip1088, 1, ok, ok, ok
mip1089, 1, ok, ok, ok
mip109, 1, ok, ok, ok
mip1090, 1, ok, ok, ok
mip1091, 1, ok, ok, ok
mip1092, 1, ok, ok, ok
mip1093, 1, ok, ok, ok
mip1094, 1, ok, ok, ok
mip1095, 1, ok, ok, ok
mip1096, 1, ok, ok, ok
mip1097, 1, ok, ok, ok
mip1098, 1, ok, ok, ok
mip1099, 1, ok, ok, ok
mip11, 1, ok, ok, ok
mip110, 1, ok, ok, ok
mip1100, 1, ok, ok, ok
mip1101, 1, ok, ok, ok
mip1102, 1, ok, ok, ok
mip1103, 1, ok, ok, ok
mip1104, 1, ok, ok, ok
mip1105, 1, ok, ok, ok
mip1106, 1, ok, ok, ok
mip1107, 1, ok, ok, ok
mip1108, 1, ok, ok, ok
mip1109, 1, ok, ok, ok
mip111, 1, ok, ok, ok
mip1110, 1, ok, ok, ok
mip1111, 1, ok, ok, ok
mip1112, 1, ok, ok, ok
mip1113, 1, ok, ok, ok
mip1114, 1, ok, ok, ok
mip1115, 1, ok, ok, ok
mip1116, 1, ok, ok, ok
mip1117, 1, ok, ok, ok
mip1118, 1, ok, ok, ok
mip1119, 1, ok, ok, ok
mip112, 1, ok, ok, ok
mip1120, 1, ok, ok, ok
mip1121, 1, ok, ok, ok
mip1122, 1, ok, ok, ok
mip1123, 1, ok, ok, ok
mip1124, 1, ok, ok, ok
mip1125, 1, ok, ok, ok
mip1126, 1, ok, ok, ok
mip1127, 1, ok, ok, ok
mip1128, 1, ok, ok, ok
mip1129, 1, ok, ok, ok
mip113, 1, ok, ok, ok
mip1130, 1, ok, ok, ok
mip1131, 1, ok, ok, ok
mip1132, 1, ok, ok, ok
mip1133, 1, ok, ok, ok
mip1134, 1, ok, ok, ok
mip1135, 1, ok, ok, ok
mip1136, 1, ok, ok, ok
mip1137, 1, ok, ok, ok
mip1138, 1, ok, ok, ok
mip1139, 1, ok, ok, ok
mip114, 1, ok, ok, ok
mip1140, 1, ok, ok, ok
mip1141, 1, ok, ok, ok
mip1142, 1, ok, ok, ok
mip1143, 1, ok, ok, ok
mip1144, 1, ok, ok, ok
mip1145, 1, ok, ok, ok
mip1146, 1, ok, ok, ok
mip1147, 1, ok, ok, ok
mip1148, 1, ok, ok, ok
mip1149, 1, ok, ok, ok
mip115, 1, ok, ok, ok
mip1150, 1, ok, ok, ok
mip1151, 1, ok, ok, ok
mip1152, 1, ok, ok, ok
mip1153, 1, ok, ok, ok
mip1154, 1, ok, ok, ok
mip1155, 1, ok, ok, ok
mip1156, 1, ok, ok, ok
mip1157, 1, ok, ok, ok
mip1158, 1, ok, ok, ok
mip1159, 1, ok, ok, ok
mip116, 1, ok, ok, ok
mip1160, 1, ok, ok, ok
mip1161, 1, ok, ok, ok
mip1162, 1, ok, ok, ok
mip1163, 1, ok, ok, ok
mip1164, 1, ok, ok, ok
mip1165, 1, ok, ok, ok
mip1166, 1, ok, ok, ok
mip1167, 1, ok, ok, ok
mip1168, 1, ok, ok, ok
mip1169, 1, ok, ok, ok
mip117, 1, ok, ok, ok
mip1170, 1, ok, ok, ok
mip1171, 1, ok, ok, ok
mip1172, 1, ok, ok, ok
mip1173, 1, ok, ok, ok
mip1174, 1, ok, ok, ok
mip1175, 1, ok, ok, ok
mip1176, 1, ok, ok, ok
mip1177, 1, ok, ok, ok
mip1178, 1, ok, ok, ok
mip1179, 1, ok, ok, ok
mip118, 1, ok, ok, ok
mip1180, 1, ok, ok, ok
mip1181, 1, ok, ok, ok
mip1182, 1, ok, ok, ok
mip1183, 1, ok, ok, ok
