@RELATION FEATURE_COSTS_MIPVerifySDP_cleanARPfeatureset

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE trivialFeatures NUMERIC
@ATTRIBUTE LPbasedFeatures NUMERIC
@ATTRIBUTE NonContinuousFeatures NUMERIC
@ATTRIBUTE ContinuousFeatures NUMERIC
@ATTRIBUTE allVariablesFeatures NUMERIC
@ATTRIBUTE ProbingFeatures NUMERIC


@DATA
mip1, 1, 0, 2.05, 0.0, 0.2, 0.183333, 24.3167
mip10, 1, 0, 2.16667, 0.0, 0.216667, 0.183333, 25.0
mip100, 1, 0, 2.0, 0.0, 0.183333, 0.183333, 22.75
mip1000, 1, 0, 3.36667, 0.0166667, 0.2, 0.2, 23.45
mip10000, 1, 0, 2.06667, 0.0166667, 0.183333, 0.166667, 23.5333
mip1001, 1, 0, 1.31667, 0.0, 0.2, 0.2, 24.1667
mip1002, 1, 0, 2.91667, 0.0166667, 0.166667, 0.166667, 24.25
mip1003, 1, 0, 1.5, 0.0, 0.166667, 0.166667, 25.3667
mip1004, 1, 0, 2.95, 0.0166667, 0.15, 0.15, 24.6167
mip1005, 1, 0, 1.36667, 0.0, 0.2, 0.2, 24.3167
mip1006, 1, 0, 1.96667, 0.0, 0.2, 0.183333, 24.6
mip1007, 1, 0, 3.06667, 0.0166667, 0.183333, 0.183333, 23.1333
mip1008, 1, 0, 2.06667, 0.0166667, 0.2, 0.2, 24.0833
mip1009, 1, 0, 3.4, 0.0, 0.2, 0.183333, 23.2833
mip101, 1, 0, 2.3, 0.0, 0.216667, 0.2, 23.3167
mip1010, 1, 0, 3.13333, 0.0166667, 0.183333, 0.183333, 22.85
mip1011, 1, 0, 1.83333, 0.0166667, 0.183333, 0.166667, 22.7333
mip1012, 1, 0, 1.23333, 0.0166667, 0.2, 0.183333, 31.55
mip1013, 1, 0, 2.05, 0.0, 0.183333, 0.2, 27.8833
mip1014, 1, 0, 3.08333, 0.0, 0.2, 0.183333, 30.0833
mip1015, 1, 0, 4.03333, 0.0166667, 0.216667, 0.216667, 23.45
mip1016, 1, 0, 3.46667, 0.0, 0.2, 0.2, 27.3
mip1017, 1, 0, 1.91667, 0.0166667, 0.2, 0.183333, 26.4167
mip1018, 1, 0, 2.1, 0.0, 0.183333, 0.2, 23.75
mip1019, 1, 0, 1.81667, 0.0, 0.183333, 0.183333, 29.8167
