@RELATION ALGORITHM_RUNS_MIPVerifySDP_cleanARPsamplefeatureset

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE PAR10 NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
mip2801, 1, ConfigDefault, 1500.69807887077, ok
mip2801, 1, Config1, 359.626399040222, ok
mip2801, 1, Config2, 1443.48991298675, ok
mip2801, 1, Config3, 596.350420951843, ok
mip4222, 1, ConfigDefault, 2555.97381496429, ok
mip4222, 1, Config1, 757.522993087768, ok
mip4222, 1, Config2, 3288.9659409523, ok
mip4222, 1, Config3, 975.140470027923, ok
mip2546, 1, ConfigDefault, 9600.0, timeout
mip2546, 1, Config1, 4165.72988700866, ok
mip2546, 1, Config2, 9600.0, timeout
mip2546, 1, Config3, 9600.0, timeout
mip7004, 1, ConfigDefault, 4224.01916193962, ok
mip7004, 1, Config1, 615.969026088714, ok
mip7004, 1, Config2, 885.062021970748, ok
mip7004, 1, Config3, 720.15031003952, ok
mip895, 1, ConfigDefault, 2879.86625313758, ok
mip895, 1, Config1, 169.917777061462, ok
mip895, 1, Config2, 244.950670957565, ok
mip895, 1, Config3, 221.820770978927, ok
mip4789, 1, ConfigDefault, 4342.90859699249, ok
mip4789, 1, Config1, 663.086514949798, ok
mip4789, 1, Config2, 1498.64512109756, ok
mip4789, 1, Config3, 1188.21218514442, ok
mip1897, 1, ConfigDefault, 2829.61814093589, ok
mip1897, 1, Config1, 163.673125982284, ok
mip1897, 1, Config2, 203.578491926193, ok
mip1897, 1, Config3, 164.790408849716, ok
mip4350, 1, ConfigDefault, 2722.17835402488, ok
mip4350, 1, Config1, 636.782103061676, ok
mip4350, 1, Config2, 819.434129953384, ok
mip4350, 1, Config3, 1168.95032596588, ok
mip2861, 1, ConfigDefault, 9600.0, timeout
mip2861, 1, Config1, 354.852931976318, ok
mip2861, 1, Config2, 668.267874002456, ok
mip2861, 1, Config3, 642.963583946228, ok
mip8362, 1, ConfigDefault, 9412.19694209098, ok
mip8362, 1, Config1, 375.809767007827, ok
mip8362, 1, Config2, 2610.54573202133, ok
mip8362, 1, Config3, 1138.03607392311, ok
mip2925, 1, ConfigDefault, 666.350374221801, ok
mip2925, 1, Config1, 238.220682144165, ok
mip2925, 1, Config2, 530.752300977706, ok
mip2925, 1, Config3, 504.94737792015, ok
mip7351, 1, ConfigDefault, 9600.0, timeout
mip7351, 1, Config1, 2564.06895184516, ok
mip7351, 1, Config2, 3586.93022084236, ok
mip7351, 1, Config3, 4813.46320199966, ok
mip2210, 1, ConfigDefault, 4672.31398701667, ok
mip2210, 1, Config1, 201.829107999801, ok
mip2210, 1, Config2, 871.906466007232, ok
mip2210, 1, Config3, 483.465329885482, ok
mip9003, 1, ConfigDefault, 3326.46908092498, ok
mip9003, 1, Config1, 297.149482965469, ok
mip9003, 1, Config2, 1184.03011798858, ok
mip9003, 1, Config3, 738.025439977645, ok
mip8065, 1, ConfigDefault, 9600.0, timeout
mip8065, 1, Config1, 6861.0393409729, ok
mip8065, 1, Config2, 9594.83019804954, ok
mip8065, 1, Config3, 9600.0, timeout
mip2040, 1, ConfigDefault, 9600.0, timeout
mip2040, 1, Config1, 422.490622997284, ok
mip2040, 1, Config2, 1126.03257918357, ok
mip2040, 1, Config3, 1026.05340003967, ok
mip6215, 1, ConfigDefault, 6346.51023602485, ok
mip6215, 1, Config1, 260.141690969467, ok
mip6215, 1, Config2, 1058.742374897, ok
mip6215, 1, Config3, 404.652481079101, ok
mip778, 1, ConfigDefault, 483.687980890274, ok
mip778, 1, Config1, 130.378127098083, ok
mip778, 1, Config2, 226.272053956985, ok
mip778, 1, Config3, 178.198004007339, ok
mip8092, 1, ConfigDefault, 885.568471908569, ok
mip8092, 1, Config1, 243.951229810714, ok
mip8092, 1, Config2, 7744.36715412139, ok
mip8092, 1, Config3, 5021.00624895095, ok
mip776, 1, ConfigDefault, 75.0151920318603, ok
mip776, 1, Config1, 57.3304049968719, ok
mip776, 1, Config2, 99.5434219837188, ok
mip776, 1, Config3, 123.303503990173, ok
mip374, 1, ConfigDefault, 5459.44699883461, ok
mip374, 1, Config1, 223.662548065185, ok
mip374, 1, Config2, 432.842568874359, ok
mip374, 1, Config3, 295.580080032348, ok
mip6904, 1, ConfigDefault, 2135.13184595108, ok
mip6904, 1, Config1, 219.925347089767, ok
mip6904, 1, Config2, 307.070873022079, ok
mip6904, 1, Config3, 358.99587893486, ok
mip1418, 1, ConfigDefault, 9600.0, timeout
mip1418, 1, Config1, 919.951565027236, ok
mip1418, 1, Config2, 2798.20400190353, ok
mip1418, 1, Config3, 1495.07948493957, ok
mip7858, 1, ConfigDefault, 9600.0, timeout
mip7858, 1, Config1, 377.697906970977, ok
mip7858, 1, Config2, 1001.47910618782, ok
mip7858, 1, Config3, 2556.42968297004, ok
mip3439, 1, ConfigDefault, 3353.20534396171, ok
mip3439, 1, Config1, 433.432693004608, ok
mip3439, 1, Config2, 1634.43268299102, ok
mip3439, 1, Config3, 943.823673009872, ok
mip5108, 1, ConfigDefault, 111.901911020278, ok
mip5108, 1, Config1, 65.3328669071197, ok
mip5108, 1, Config2, 394.910218000412, ok
mip5108, 1, Config3, 97.3482558727264, ok
mip161, 1, ConfigDefault, 8997.33480906486, ok
mip161, 1, Config1, 353.579303979873, ok
mip161, 1, Config2, 680.242316007614, ok
mip161, 1, Config3, 1505.46002984046, ok
mip6109, 1, ConfigDefault, 9600.0, timeout
mip6109, 1, Config1, 3134.12147116661, ok
mip6109, 1, Config2, 3431.40893006324, ok
mip6109, 1, Config3, 3251.36725711822, ok
mip4100, 1, ConfigDefault, 9600.0, timeout
mip4100, 1, Config1, 1094.21821904182, ok
mip4100, 1, Config2, 7584.2146589756, ok
mip4100, 1, Config3, 1556.70030617713, ok
mip9834, 1, ConfigDefault, 4653.49464988708, ok
