@RELATION CV_MIPVerifySDP_cleanARPsamplefeatureset

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE fold NUMERIC


@DATA
mip2801, 1, 3
mip4222, 1, 8
mip2546, 1, 2
mip7004, 1, 6
mip895, 1, 3
mip4789, 1, 1
mip1897, 1, 8
mip4350, 1, 2
mip2861, 1, 4
mip8362, 1, 5
mip2925, 1, 1
mip7351, 1, 7
mip2210, 1, 6
mip9003, 1, 9
mip8065, 1, 9
mip2040, 1, 4
mip6215, 1, 2
mip778, 1, 8
mip8092, 1, 4
mip776, 1, 1
mip374, 1, 4
mip6904, 1, 5
mip1418, 1, 6
mip7858, 1, 6
mip3439, 1, 10
mip5108, 1, 8
mip161, 1, 9
mip6109, 1, 10
mip4100, 1, 5
mip9834, 1, 10
mip4376, 1, 6
mip538, 1, 1
mip5245, 1, 1
mip2558, 1, 1
mip2701, 1, 10
mip7428, 1, 3
mip1907, 1, 7
mip3196, 1, 2
mip2315, 1, 3
mip9688, 1, 7
mip2165, 1, 3
mip5253, 1, 6
mip1581, 1, 6
mip7965, 1, 2
mip1188, 1, 5
mip5092, 1, 10
mip8177, 1, 9
mip6970, 1, 2
mip4859, 1, 10
mip3876, 1, 4
mip4514, 1, 9
mip6134, 1, 1
mip2291, 1, 6
mip6721, 1, 7
mip9184, 1, 8
mip3971, 1, 3
mip937, 1, 7
mip1287, 1, 5
mip1798, 1, 10
mip5730, 1, 2
mip2863, 1, 4
mip6710, 1, 8
mip1807, 1, 9
mip9756, 1, 6
mip3282, 1, 2
mip241, 1, 8
mip2021, 1, 2
mip5662, 1, 2
mip3646, 1, 6
mip7803, 1, 9
mip1398, 1, 10
mip7986, 1, 4
mip8281, 1, 9
mip8529, 1, 1
mip1558, 1, 10
mip2993, 1, 7
mip6234, 1, 4
mip730, 1, 6
mip8721, 1, 7
mip4646, 1, 2
mip9062, 1, 5
mip3134, 1, 9
mip5599, 1, 10
mip6081, 1, 2
mip7568, 1, 3
mip1190, 1, 4
mip4089, 1, 5
mip5219, 1, 2
mip3926, 1, 6
mip9949, 1, 3
mip6070, 1, 4
mip1451, 1, 3
mip4790, 1, 9
mip8277, 1, 5
mip7273, 1, 8
mip2192, 1, 9
mip5691, 1, 3
mip5216, 1, 3
mip7440, 1, 8
mip5989, 1, 6
mip9698, 1, 6
mip1977, 1, 10
mip6892, 1, 5
mip5297, 1, 3
mip3093, 1, 8
mip3653, 1, 2
mip2803, 1, 9
mip6541, 1, 4
mip7467, 1, 2
mip4598, 1, 2
mip9970, 1, 2
mip1653, 1, 1
mip274, 1, 7
mip4059, 1, 4
mip5448, 1, 4
mip3351, 1, 6
mip5646, 1, 2
mip3242, 1, 3
mip8536, 1, 4
mip6074, 1, 4
mip8535, 1, 2
mip3893, 1, 8
mip7812, 1, 4
mip1069, 1, 1
mip936, 1, 4
mip5018, 1, 6
mip515, 1, 4
mip4837, 1, 8
mip4679, 1, 6
mip7103, 1, 3
mip4874, 1, 5
mip5902, 1, 6
mip2148, 1, 8
mip1355, 1, 3
mip2853, 1, 3
mip6812, 1, 6
mip892, 1, 1
mip2135, 1, 6
mip5450, 1, 9
mip8311, 1, 8
mip2816, 1, 1
mip2243, 1, 5
mip6530, 1, 3
mip9776, 1, 6
mip7188, 1, 4
mip1330, 1, 5
mip9850, 1, 10
mip5314, 1, 3
mip1314, 1, 10
mip2589, 1, 2
mip5620, 1, 2
mip8413, 1, 3
mip9085, 1, 3
mip3104, 1, 8
mip9466, 1, 1
mip402, 1, 3
mip799, 1, 8
mip9966, 1, 5
