@RELATION FEATURE_COSTS_MIPVerifySDP_cleanARPsamplefeatureset

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE trivialFeatures NUMERIC
@ATTRIBUTE LPbasedFeatures NUMERIC
@ATTRIBUTE NonContinuousFeatures NUMERIC
@ATTRIBUTE ContinuousFeatures NUMERIC
@ATTRIBUTE allVariablesFeatures NUMERIC
@ATTRIBUTE ProbingFeatures NUMERIC

@DATA
mip2801, 1, 0, 1.83333, 0.0, 0.183333, 0.166667, 22.3667
mip4222, 1, 0, 1.28333, 0.0166667, 0.183333, 0.183333, 23.0
mip2546, 1, 0, 2.11667, 0.0, 0.2, 0.2, 26.5
mip7004, 1, 0, 1.78333, 0.0, 0.166667, 0.166667, 22.85
mip895, 1, 0, 1.65, 0.0, 0.15, 0.15, 26.7333
mip4789, 1, 0, 2.03333, 0.0, 0.2, 0.183333, 22.95
mip1897, 1, 0, 2.1, 0.0, 0.183333, 0.183333, 21.85
mip4350, 1, 0, 1.16667, 0.0166667, 0.166667, 0.166667, 24.2333
mip2861, 1, 0, 1.6, 0.0, 0.166667, 0.166667, 21.8333
mip8362, 1, 0, 1.73333, 0.0, 0.183333, 0.183333, 26.0667
mip2925, 1, 0, 3.83333, 0.0, 0.183333, 0.2, 23.55
mip7351, 1, 0, 1.88333, 0.0166667, 0.183333, 0.183333, 23.0333
mip2210, 1, 0, 1.78333, 0.0, 0.166667, 0.166667, 22.7333
mip9003, 1, 0, 1.26667, 0.0166667, 0.183333, 0.2, 24.4
mip8065, 1, 0, 3.11667, 0.0, 0.183333, 0.183333, 24.5667
mip2040, 1, 0, 2.06667, 0.0, 0.2, 0.183333, 23.15
mip6215, 1, 0, 1.46667, 0.0, 0.183333, 0.183333, 23.5167
mip778, 1, 0, 1.26667, 0.0166667, 0.183333, 0.183333, 22.8167
mip8092, 1, 0, 1.91667, 0.0166667, 0.183333, 0.166667, 22.8833
mip776, 1, 0, 1.51667, 0.0, 0.166667, 0.15, 30.6667
mip374, 1, 0, 1.85, 0.0, 0.183333, 0.166667, 28.0667
mip6904, 1, 0, 1.93333, 0.0, 0.2, 0.183333, 23.1833
mip1418, 1, 0, 1.91667, 0.0, 0.2, 0.183333, 24.2167
mip7858, 1, 0, 1.25, 0.0166667, 0.15, 0.15, 26.7333
mip3439, 1, 0, 1.33333, 0.0, 0.2, 0.183333, 22.8333
mip5108, 1, 0, 1.81667, 0.0, 0.2, 0.183333, 24.0833
mip161, 1, 0, 1.75, 0.0, 0.183333, 0.166667, 25.7833
mip6109, 1, 0, 1.25, 0.0, 0.166667, 0.166667, 25.5667
mip4100, 1, 0, 1.71667, 0.0, 0.183333, 0.166667, 30.0833
