@RELATION FEATURE_RUNSTATUS_MIPVerifySDP_cleanARPsamplefeatureset

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE trivialFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE LPbasedFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE NonContinuousFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE ContinuousFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE allVariablesFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE ProbingFeatures {ok,timeout,memout,presolved,crash,unknown,other}

@DATA
mip2801, 1, ok, ok, ok, ok, ok, ok
mip4222, 1, ok, ok, ok, ok, ok, ok
mip2546, 1, ok, ok, ok, ok, ok, ok
mip7004, 1, ok, ok, ok, ok, ok, ok
mip895, 1, ok, ok, ok, ok, ok, ok
mip4789, 1, ok, ok, ok, ok, ok, ok
mip1897, 1, ok, ok, ok, ok, ok, ok
mip4350, 1, ok, ok, ok, ok, ok, ok
mip2861, 1, ok, ok, ok, ok, ok, ok
mip8362, 1, ok, ok, ok, ok, ok, ok
mip2925, 1, ok, ok, ok, ok, ok, ok
mip7351, 1, ok, ok, ok, ok, ok, ok
mip2210, 1, ok, ok, ok, ok, ok, ok
mip9003, 1, ok, ok, ok, ok, ok, ok
mip8065, 1, ok, ok, ok, ok, ok, ok
mip2040, 1, ok, ok, ok, ok, ok, ok
mip6215, 1, ok, ok, ok, ok, ok, ok
mip778, 1, ok, ok, ok, ok, ok, ok
mip8092, 1, ok, ok, ok, ok, ok, ok
mip776, 1, ok, ok, ok, ok, ok, ok
mip374, 1, ok, ok, ok, ok, ok, ok
mip6904, 1, ok, ok, ok, ok, ok, ok
mip1418, 1, ok, ok, ok, ok, ok, ok
mip7858, 1, ok, ok, ok, ok, ok, ok
mip3439, 1, ok, ok, ok, ok, ok, ok
mip5108, 1, ok, ok, ok, ok, ok, ok
mip161, 1, ok, ok, ok, ok, ok, ok
mip6109, 1, ok, ok, ok, ok, ok, ok
mip4100, 1, ok, ok, ok, ok, ok, ok
mip9834, 1, ok, ok, ok, ok, ok, ok
mip4376, 1, ok, ok, ok, ok, ok, ok
mip538, 1, ok, ok, ok, ok, ok, ok
mip5245, 1, ok, ok, ok, ok, ok, ok
mip2558, 1, ok, ok, ok, ok, ok, ok
mip2701, 1, ok, ok, ok, ok, ok, ok
mip7428, 1, ok, ok, ok, ok, ok, ok
mip1907, 1, ok, ok, ok, ok, ok, ok
mip3196, 1, ok, ok, ok, ok, ok, ok
mip2315, 1, ok, ok, ok, ok, ok, ok
mip9688, 1, ok, ok, ok, ok, ok, ok
mip2165, 1, ok, ok, ok, ok, ok, ok
mip5253, 1, ok, ok, ok, ok, ok, ok
mip1581, 1, ok, ok, ok, ok, ok, ok
mip7965, 1, ok, ok, ok, ok, ok, ok
mip1188, 1, ok, ok, ok, ok, ok, ok
mip5092, 1, ok, ok, ok, ok, ok, ok
mip8177, 1, ok, ok, ok, ok, ok, ok
mip6970, 1, ok, ok, ok, ok, ok, ok
mip4859, 1, ok, ok, ok, ok, ok, ok
mip3876, 1, ok, ok, ok, ok, ok, ok
mip4514, 1, ok, ok, ok, ok, ok, ok
mip6134, 1, ok, ok, ok, ok, ok, ok
mip2291, 1, ok, ok, ok, ok, ok, ok
mip6721, 1, ok, ok, ok, ok, ok, ok
mip9184, 1, ok, ok, ok, ok, ok, ok
mip3971, 1, ok, ok, ok, ok, ok, ok
mip937, 1, ok, ok, ok, ok, ok, ok
mip1287, 1, ok, ok, ok, ok, ok, ok
mip1798, 1, ok, ok, ok, ok, ok, ok
mip5730, 1, ok, ok, ok, ok, ok, ok
mip2863, 1, ok, ok, ok, ok, ok, ok
mip6710, 1, ok, ok, ok, ok, ok, ok
mip1807, 1, ok, ok, ok, ok, ok, ok
mip9756, 1, ok, ok, ok, ok, ok, ok
mip3282, 1, ok, ok, ok, ok, ok, ok
mip241, 1, ok, ok, ok, ok, ok, ok
mip2021, 1, ok, ok, ok, ok, ok, ok
mip5662, 1, ok, ok, ok, ok, ok, ok
mip3646, 1, ok, ok, ok, ok, ok, ok
mip7803, 1, ok, ok, ok, ok, ok, ok
mip1398, 1, ok, ok, ok, ok, ok, ok
mip7986, 1, ok, ok, ok, ok, ok, ok
mip8281, 1, ok, ok, ok, ok, ok, ok
mip8529, 1, ok, ok, ok, ok, ok, ok
mip1558, 1, ok, ok, ok, ok, ok, ok
mip2993, 1, ok, ok, ok, ok, ok, ok
mip6234, 1, ok, ok, ok, ok, ok, ok
mip730, 1, ok, ok, ok, ok, ok, ok
mip8721, 1, ok, ok, ok, ok, ok, ok
mip4646, 1, ok, ok, ok, ok, ok, ok
mip9062, 1, ok, ok, ok, ok, ok, ok
mip3134, 1, ok, ok, ok, ok, ok, ok
mip5599, 1, ok, ok, ok, ok, ok, ok
mip6081, 1, ok, ok, ok, ok, ok, ok
mip7568, 1, ok, ok, ok, ok, ok, ok
mip1190, 1, ok, ok, ok, ok, ok, ok
mip4089, 1, ok, ok, ok, ok, ok, ok
mip5219, 1, ok, ok, ok, ok, ok, ok
mip3926, 1, ok, ok, ok, ok, ok, ok
