@RELATION FEATURE_VALUES_MIPVerifySDP_cleanARPsamplefeatureset

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE n_vars NUMERIC
@ATTRIBUTE n_constr NUMERIC
@ATTRIBUTE n_nzcnt NUMERIC
@ATTRIBUTE lp_avg NUMERIC
@ATTRIBUTE lp_l2_avg NUMERIC
@ATTRIBUTE lp_linf NUMERIC
@ATTRIBUTE num_i_variables NUMERIC
@ATTRIBUTE num_c_variables NUMERIC
@ATTRIBUTE ratio_i_variables NUMERIC
@ATTRIBUTE ratio_c_variables NUMERIC
@ATTRIBUTE rhs_c_0_avg NUMERIC
@ATTRIBUTE rhs_c_0_varcoef NUMERIC
@ATTRIBUTE rhs_c_1_avg NUMERIC
@ATTRIBUTE rhs_c_1_varcoef NUMERIC
@ATTRIBUTE rhs_c_2_avg NUMERIC
@ATTRIBUTE rhs_c_2_varcoef NUMERIC
@ATTRIBUTE vcg_constr_deg0_avg NUMERIC
@ATTRIBUTE vcg_constr_deg0_varcoef NUMERIC
@ATTRIBUTE vcg_constr_weight0_avg NUMERIC
@ATTRIBUTE vcg_constr_weight0_varcoef NUMERIC
@ATTRIBUTE vcg_var_weight0_avg NUMERIC
@ATTRIBUTE vcg_var_weight0_varcoef NUMERIC
@ATTRIBUTE A_ij_normalized0_avg NUMERIC
@ATTRIBUTE A_ij_normalized0_varcoef NUMERIC
@ATTRIBUTE a_normalized_varcoefs0_avg NUMERIC
@ATTRIBUTE a_normalized_varcoefs0_varcoef NUMERIC
@ATTRIBUTE vcg_constr_deg1_avg NUMERIC
@ATTRIBUTE vcg_constr_deg1_varcoef NUMERIC
@ATTRIBUTE vcg_var_deg1_avg NUMERIC
@ATTRIBUTE vcg_var_deg1_varcoef NUMERIC
@ATTRIBUTE vcg_var_deg1_q90mq10 NUMERIC
@ATTRIBUTE vcg_constr_weight1_avg NUMERIC
@ATTRIBUTE vcg_constr_weight1_varcoef NUMERIC
@ATTRIBUTE vcg_var_weight1_avg NUMERIC
@ATTRIBUTE vcg_var_weight1_varcoef NUMERIC
@ATTRIBUTE A_ij_normalized1_avg NUMERIC
@ATTRIBUTE A_ij_normalized1_varcoef NUMERIC
@ATTRIBUTE a_normalized_varcoefs1_avg NUMERIC
@ATTRIBUTE a_normalized_varcoefs1_varcoef NUMERIC
@ATTRIBUTE obj_coefs1_avg NUMERIC
@ATTRIBUTE obj_coefs1_std NUMERIC
@ATTRIBUTE obj_coef_per_constr1_avg NUMERIC
@ATTRIBUTE obj_coef_per_constr1_std NUMERIC
@ATTRIBUTE obj_coef_per_sqr_constr1_avg NUMERIC
@ATTRIBUTE obj_coef_per_sqr_constr1_std NUMERIC
@ATTRIBUTE vcg_constr_deg2_avg NUMERIC
@ATTRIBUTE vcg_constr_deg2_varcoef NUMERIC
@ATTRIBUTE vcg_var_deg2_avg NUMERIC
@ATTRIBUTE vcg_var_deg2_varcoef NUMERIC
@ATTRIBUTE vcg_var_deg2_q90mq10 NUMERIC
@ATTRIBUTE vcg_constr_weight2_avg NUMERIC
@ATTRIBUTE vcg_constr_weight2_varcoef NUMERIC
@ATTRIBUTE vcg_var_weight2_avg NUMERIC
@ATTRIBUTE vcg_var_weight2_varcoef NUMERIC
@ATTRIBUTE A_ij_normalized2_avg NUMERIC
@ATTRIBUTE A_ij_normalized2_varcoef NUMERIC
@ATTRIBUTE a_normalized_varcoefs2_avg NUMERIC
@ATTRIBUTE a_normalized_varcoefs2_varcoef NUMERIC
@ATTRIBUTE obj_coefs2_avg NUMERIC
@ATTRIBUTE obj_coefs2_std NUMERIC
@ATTRIBUTE obj_coef_per_constr2_avg NUMERIC
@ATTRIBUTE obj_coef_per_constr2_std NUMERIC
@ATTRIBUTE obj_coef_per_sqr_constr2_avg NUMERIC
@ATTRIBUTE obj_coef_per_sqr_constr2_std NUMERIC
@ATTRIBUTE mipgap NUMERIC
@ATTRIBUTE nodecnt NUMERIC
@ATTRIBUTE pre_t NUMERIC
@ATTRIBUTE new_row NUMERIC
@ATTRIBUTE new_col NUMERIC
@ATTRIBUTE new_nonzero NUMERIC
@ATTRIBUTE clique_table NUMERIC
@ATTRIBUTE cliqueCuts NUMERIC
@ATTRIBUTE impliedBoundCuts NUMERIC
@ATTRIBUTE flowCuts NUMERIC
@ATTRIBUTE mixedIntegerRoundingCuts NUMERIC
@ATTRIBUTE gomoryFractionalCuts NUMERIC

@DATA
mip2801, 1, 2935.0, 4300.0, 476803.0, 0.13297, 0.22244, 0.496111, 295.0, 2640.0, 0.100511, 0.899489, 0.551993, 1.82024, 0.152192, 2.13234, 0.000642727, 162.97, 0.137209, 2.67909, 0.021205, 23.763, 0.309089, 5.35787, 1.0999, 0.953621, 0.000657774, 65.5668, 110.747, 2.4692, 180.384, 1.48583, 589.0, 0.633656, 1.36633, 1.03209, 14.8474, 0.00604103, 246.053, 2.06377, 3.37789, 0.000378788, 0.0194588, 4.83148e-07, 2.48199e-05, 1.35281e-05, 0.000694957, 110.884, 2.46744, 162.454, 1.59916, 590.0, 0.654861, 1.51525, 0.959422, 15.1596, 0.00690664, 215.219, 2.09702, 3.32315, 0.000340716, 0.0184553, 4.34586e-07, 2.354e-05, 1.21684e-05, 0.000659119, 1.0, 0.0, 0.25, 2022.0, 1547.0, 472533.0, 90.0, 0.0, 3.0, 0.0, 92.0, 47.0
mip4222, 1, 2947.0, 4324.0, 486361.0, 0.127408, 0.213098, 0.498799, 301.0, 2646.0, 0.102138, 0.897862, 0.48585, 1.88271, 0.111647, 2.59204, -0.00141214, -74.5688, 0.139223, 2.65364, 0.0196415, 23.6086, 0.282159, 5.38448, 1.47024, 3.45364, 0.000654123, 65.7495, 112.34, 2.44925, 183.582, 1.48865, 601.0, 0.625119, 1.41238, 1.02155, 14.9822, 0.00637769, 202.838, 2.09838, 3.3454, 0.000377929, 0.0194367, 4.82052e-07, 2.47917e-05, 1.34975e-05, 0.000694169, 112.479, 2.4475, 165.036, 1.60408, 602.0, 0.64476, 1.52788, 0.946027, 15.3402, 0.00757136, 171.949, 2.13251, 3.29031, 0.000339328, 0.0184177, 4.32816e-07, 2.3492e-05, 1.21189e-05, 0.000657776, 1.0, 0.0, 0.25, 1934.0, 1506.0, 481873.0, 26.0, 0.0, 0.0, 0.0, 8.0, 4.0
mip2546, 1, 2973.0, 4376.0, 507070.0, 0.123476, 0.208722, 0.497115, 314.0, 2659.0, 0.105617, 0.894383, 0.505392, 1.91833, 0.139788, 2.26767, 0.000627628, 166.591, 0.14351, 2.60136, 0.0178567, 27.5007, 0.248857, 6.37535, 1.4014, 2.30809, 0.00064635, 66.1438, 115.732, 2.40806, 190.463, 1.4947, 627.0, 0.631808, 1.40704, 1.03979, 14.6856, 0.00846783, 158.434, 2.16359, 3.2891, 0.000376081, 0.0193892, 4.79695e-07, 2.47311e-05, 1.34315e-05, 0.00069247, 115.875, 2.40633, 170.558, 1.61466, 628.0, 0.649664, 1.54814, 0.95625, 15.1135, 0.00959583, 140.143, 2.1997, 3.23751, 0.000336361, 0.0183371, 4.29031e-07, 2.33891e-05, 1.20129e-05, 0.000654895, 1.0, 0.0, 0.26, 2027.0, 1559.0, 502677.0, 146.0, 0.0, 0.0, 0.0, 18.0, 9.0
mip7004, 1, 2945.0, 4320.0, 484768.0, 0.125174, 0.210313, 0.498951, 300.0, 2645.0, 0.101868, 0.898132, 0.506135, 1.88334, 0.138524, 2.29211, -0.000514082, -202.941, 0.138889, 2.65782, 0.018562, 25.8481, 0.267292, 5.86897, 1.20135, 1.04968, 0.000654729, 65.7191, 112.076, 2.45253, 183.05, 1.48818, 599.0, 0.624336, 1.41982, 1.01971, 15.0155, 0.00833715, 166.71, 2.09113, 3.35308, 0.000378072, 0.0194404, 4.82234e-07, 2.47964e-05, 1.35026e-05, 0.0006943, 112.215, 2.45078, 164.607, 1.60326, 600.0, 0.642898, 1.56155, 0.943063, 15.3978, 0.00931367, 149.265, 2.12411, 3.29937, 0.000339559, 0.018424, 4.3311e-07, 2.35e-05, 1.21271e-05, 0.000658, 1.0, 0.0, 0.25, 1989.0, 1533.0, 480397.0, 262.0, 0.0, 0.0, 0.0, 52.0, 26.0
mip895, 1, 2817.0, 4064.0, 382816.0, 0.136906, 0.226524, 0.495137, 236.0, 2581.0, 0.0837771, 0.916223, 0.44983, 1.87049, 0.268855, 1.58428, -0.00182559, -52.2682, 0.116142, 2.98724, 0.0157222, 25.4235, 0.270742, 5.30405, 1.588, 2.43921, 0.000695971, 63.7417, 94.0807, 2.70533, 148.138, 1.45711, 471.0, 0.604592, 1.3986, 0.95198, 16.271, 0.00789666, 185.813, 1.74103, 3.69614, 0.000387447, 0.0196799, 4.94192e-07, 2.51019e-05, 1.38374e-05, 0.000702852, 94.1969, 2.70347, 135.895, 1.54931, 471.0, 0.620314, 1.49066, 0.894908, 16.5756, 0.00919043, 160.121, 1.76982, 3.63386, 0.000354988, 0.0188378, 4.5279e-07, 2.40278e-05, 1.26781e-05, 0.000672777, 1.0, 0.0, 0.2, 1595.0, 1304.0, 378105.0, 145.0, 0.0, 0.0, 0.0, 14.0, 6.0
mip4789, 1, 2979.0, 4388.0, 511849.0, 0.133998, 0.219615, 0.496353, 317.0, 2662.0, 0.106412, 0.893588, 0.536135, 1.88944, 0.107541, 2.54506, 0.00255843, 38.2899, 0.144485, 2.58981, 0.0190278, 26.948, 0.263388, 6.31225, 1.69664, 4.40464, 0.000644582, 66.2344, 116.503, 2.39893, 192.042, 1.49609, 633.0, 0.635043, 1.36769, 1.04679, 14.5812, 0.00745773, 186.783, 2.17923, 3.27824, 0.000375657, 0.0193782, 4.79155e-07, 2.47171e-05, 1.34163e-05, 0.00069208, 116.647, 2.3972, 171.819, 1.61708, 634.0, 0.654071, 1.53697, 0.963431, 14.9889, 0.00880355, 160.062, 2.21508, 3.22556, 0.000335683, 0.0183186, 4.28167e-07, 2.33655e-05, 1.19887e-05, 0.000654235, 1.0, 0.0, 0.26, 2004.0, 1549.0, 507389.0, 117.0, 0.0, 0.0, 1.0, 16.0, 8.0
mip1897, 1, 2947.0, 4324.0, 486361.0, 0.116947, 0.200205, 0.499319, 301.0, 2646.0, 0.102138, 0.897862, 0.521439, 1.77122, 0.166884, 2.01688, 0.000126568, 797.235, 0.139223, 2.65364, 0.0213993, 21.9711, 0.30741, 4.85211, 1.30645, 1.69482, 0.000654123, 65.7495, 112.34, 2.44925, 183.582, 1.48865, 601.0, 0.630196, 1.35598, 1.02984, 14.8623, 0.00889585, 171.453, 2.09765, 3.34653, 0.000377929, 0.0194367, 4.82052e-07, 2.47917e-05, 1.34975e-05, 0.000694169, 112.479, 2.4475, 165.036, 1.60408, 602.0, 0.651595, 1.4884, 0.956057, 15.1797, 0.00995296, 153.357, 2.12962, 3.29414, 0.000339328, 0.0184177, 4.32816e-07, 2.3492e-05, 1.21189e-05, 0.000657776, 1.0, 0.0, 0.25, 2070.0, 1574.0, 482145.0, 97.0, 0.0, 0.0, 0.0, 104.0, 53.0
mip4350, 1, 2923.0, 4276.0, 467245.0, 0.119956, 0.202379, 0.494585, 289.0, 2634.0, 0.098871, 0.901129, 0.474483, 1.87099, 0.118227, 2.58643, 0.000941476, 102.533, 0.135173, 2.70545, 0.0180162, 24.2691, 0.266565, 5.43084, 1.15126, 0.918299, 0.000661466, 65.3835, 109.136, 2.48979, 177.17, 1.483, 577.0, 0.62093, 1.39399, 1.00801, 15.2172, 0.00763185, 169.53, 2.0353, 3.40108, 0.000379651, 0.0194809, 4.84248e-07, 2.48481e-05, 1.3559e-05, 0.000695747, 109.272, 2.48802, 159.851, 1.59422, 577.0, 0.638946, 1.50833, 0.934702, 15.5877, 0.00854533, 151.435, 2.0675, 3.34541, 0.000342114, 0.0184932, 4.3637e-07, 2.35882e-05, 1.22184e-05, 0.00066047, 1.0, 0.0, 0.24, 1868.0, 1467.0, 462709.0, 286.0, 0.0, 0.0, 0.0, 76.0, 39.0
mip2861, 1, 2889.0, 4208.0, 440164.0, 0.137068, 0.224394, 0.497716, 272.0, 2617.0, 0.0941502, 0.90585, 0.493347, 1.83877, 0.171445, 2.0455, -0.00212704, -47.2566, 0.129278, 2.78551, 0.0199478, 22.3937, 0.308603, 4.87854, 1.7909, 5.73064, 0.000672155, 64.8614, 104.472, 2.55187, 167.986, 1.47487, 543.0, 0.629779, 1.37635, 1.01265, 15.1935, 0.00961047, 200.525, 1.94399, 3.48578, 0.000382117, 0.0195441, 4.87394e-07, 2.49287e-05, 1.3647e-05, 0.000698003, 104.602, 2.55008, 152.359, 1.58007, 543.0, 0.649727, 1.4931, 0.946366, 15.4827, 0.0110828, 175.901, 1.97483, 3.42847, 0.000346141, 0.0186016, 4.41506e-07, 2.37266e-05, 1.23622e-05, 0.000664344, 1.0, 0.0, 0.23, 1957.0, 1503.0, 435925.0, 135.0, 0.0, 0.0, 0.0, 22.0, 11.0
mip8362, 1, 2941.0, 4312.0, 481582.0, 0.134418, 0.222303, 0.499681, 298.0, 2643.0, 0.101326, 0.898674, 0.520511, 1.88119, 0.129577, 2.34328, 0.00116989, 85.9732, 0.138219, 2.66625, 0.0177208, 27.5996, 0.256417, 6.29407, 1.21144, 2.23369, 0.000655943, 65.6582, 111.546, 2.45915, 181.985, 1.48724, 595.0, 0.635357, 1.3668, 1.03657, 14.7726, 0.0076232, 181.234, 2.08152, 3.36088, 0.000378358, 0.0194477, 4.82599e-07, 2.48058e-05, 1.35128e-05, 0.000694562, 111.684, 2.45739, 163.748, 1.60163, 596.0, 0.653077, 1.52466, 0.957521, 15.1718, 0.00858306, 161.197, 2.11507, 3.30694, 0.00034002, 0.0184365, 4.33699e-07, 2.3516e-05, 1.21436e-05, 0.000658447, 1.0, 0.0, 0.25, 1975.0, 1525.0, 477197.0, 130.0, 0.0, 0.0, 0.0, 4.0, 2.0
