@RELATION CV_sanitycheck

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE fold NUMERIC


@DATA
mip1, 1, 2
mip10, 1, 3
mip100, 1, 9
mip1000, 1, 4
mip10000, 1, 5
mip1001, 1, 6
mip1002, 1, 10
mip1003, 1, 3
mip1004, 1, 8
mip1005, 1, 8
mip1006, 1, 7
mip1007, 1, 4
mip1008, 1, 3
mip1009, 1, 3
mip101, 1, 2
mip1010, 1, 2
mip1011, 1, 2
mip1012, 1, 9
mip1013, 1, 6
mip1014, 1, 6
mip1015, 1, 5
mip1016, 1, 9
mip1017, 1, 9
mip1018, 1, 6
mip1019, 1, 8
mip102, 1, 4
mip1020, 1, 6
mip1021, 1, 1
mip1022, 1, 1
mip1023, 1, 5
mip1024, 1, 9
mip1025, 1, 7
mip1026, 1, 9
mip1027, 1, 9
mip1028, 1, 10
mip1029, 1, 6
mip103, 1, 3
mip1030, 1, 8
mip1031, 1, 6
mip1032, 1, 6
mip1033, 1, 1
mip1034, 1, 7
mip1035, 1, 7
mip1036, 1, 9
mip1037, 1, 4
mip1038, 1, 2
mip1039, 1, 7
mip104, 1, 3
mip1040, 1, 3
mip1041, 1, 8
mip1042, 1, 7
mip1043, 1, 6
mip1044, 1, 6
mip1045, 1, 5
mip1046, 1, 10
mip1047, 1, 7
mip1048, 1, 1
mip1049, 1, 5
mip105, 1, 8
mip1050, 1, 5
mip1051, 1, 8
mip1052, 1, 6
mip1053, 1, 8
mip1054, 1, 9
mip1055, 1, 7
mip1056, 1, 8
mip1057, 1, 1
mip1058, 1, 10
mip1059, 1, 1
mip106, 1, 9
mip1060, 1, 3
mip1061, 1, 1
mip1062, 1, 3
mip1063, 1, 5
mip1064, 1, 8
mip1065, 1, 10
mip1066, 1, 6
mip1067, 1, 4
mip1068, 1, 10
mip1069, 1, 2
mip107, 1, 1
mip1070, 1, 10
mip1071, 1, 9
mip1072, 1, 8
mip1073, 1, 1
mip1074, 1, 1
mip1075, 1, 2
mip1076, 1, 9
mip1077, 1, 5
mip1078, 1, 6
mip1079, 1, 10
mip108, 1, 3
mip1080, 1, 6
mip1081, 1, 9
mip1082, 1, 8
mip1083, 1, 10
mip1084, 1, 8
mip1085, 1, 1
