@RELATION FEATURE_COSTS_sanitycheck

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE trivialFeatures NUMERIC


@DATA
mip1, 1, 0
mip10, 1, 0
mip100, 1, 0
mip1000, 1, 0
mip10000, 1, 0
mip1001, 1, 0
mip1002, 1, 0
mip1003, 1, 0
mip1004, 1, 0
mip1005, 1, 0
mip1006, 1, 0
mip1007, 1, 0
mip1008, 1, 0
mip1009, 1, 0
mip101, 1, 0
mip1010, 1, 0
mip1011, 1, 0
mip1012, 1, 0
mip1013, 1, 0
mip1014, 1, 0
mip1015, 1, 0
mip1016, 1, 0
mip1017, 1, 0
mip1018, 1, 0
mip1019, 1, 0
mip102, 1, 0
mip1020, 1, 0
mip1021, 1, 0
mip1022, 1, 0
mip1023, 1, 0
mip1024, 1, 0
mip1025, 1, 0
mip1026, 1, 0
mip1027, 1, 0
mip1028, 1, 0
mip1029, 1, 0
mip103, 1, 0
mip1030, 1, 0
mip1031, 1, 0
mip1032, 1, 0
mip1033, 1, 0
mip1034, 1, 0
mip1035, 1, 0
mip1036, 1, 0
mip1037, 1, 0
mip1038, 1, 0
mip1039, 1, 0
mip104, 1, 0
mip1040, 1, 0
mip1041, 1, 0
mip1042, 1, 0
mip1043, 1, 0
mip1044, 1, 0
mip1045, 1, 0
mip1046, 1, 0
mip1047, 1, 0
mip1048, 1, 0
mip1049, 1, 0
mip105, 1, 0
mip1050, 1, 0
mip1051, 1, 0
mip1052, 1, 0
mip1053, 1, 0
mip1054, 1, 0
mip1055, 1, 0
mip1056, 1, 0
mip1057, 1, 0
mip1058, 1, 0
mip1059, 1, 0
mip106, 1, 0
mip1060, 1, 0
mip1061, 1, 0
mip1062, 1, 0
mip1063, 1, 0
mip1064, 1, 0
mip1065, 1, 0
mip1066, 1, 0
mip1067, 1, 0
mip1068, 1, 0
mip1069, 1, 0
mip107, 1, 0
mip1070, 1, 0
mip1071, 1, 0
mip1072, 1, 0
mip1073, 1, 0
mip1074, 1, 0
mip1075, 1, 0
mip1076, 1, 0
mip1077, 1, 0
mip1078, 1, 0
mip1079, 1, 0
mip108, 1, 0
mip1080, 1, 0
mip1081, 1, 0
mip1082, 1, 0
mip1083, 1, 0
mip1084, 1, 0
mip1085, 1, 0
mip1086, 1, 0
mip1087, 1, 0
mip1088, 1, 0
mip1089, 1, 0
mip109, 1, 0
mip1090, 1, 0
mip1091, 1, 0
mip1092, 1, 0
mip1093, 1, 0
mip1094, 1, 0
mip1095, 1, 0
mip1096, 1, 0
mip1097, 1, 0
mip1098, 1, 0
mip1099, 1, 0
mip11, 1, 0
mip110, 1, 0
mip1100, 1, 0
mip1101, 1, 0
mip1102, 1, 0
mip1103, 1, 0
mip1104, 1, 0
mip1105, 1, 0
mip1106, 1, 0
mip1107, 1, 0
mip1108, 1, 0
mip1109, 1, 0
mip111, 1, 0
mip1110, 1, 0
mip1111, 1, 0
mip1112, 1, 0
mip1113, 1, 0
mip1114, 1, 0
mip1115, 1, 0
mip1116, 1, 0
mip1117, 1, 0
mip1118, 1, 0
mip1119, 1, 0
mip112, 1, 0
mip1120, 1, 0
mip1121, 1, 0
mip1122, 1, 0
mip1123, 1, 0
mip1124, 1, 0
mip1125, 1, 0
mip1126, 1, 0
mip1127, 1, 0
mip1128, 1, 0
mip1129, 1, 0
mip113, 1, 0
mip1130, 1, 0
mip1131, 1, 0
mip1132, 1, 0
mip1133, 1, 0
mip1134, 1, 0
mip1135, 1, 0
mip1136, 1, 0
mip1137, 1, 0
mip1138, 1, 0
mip1139, 1, 0
mip114, 1, 0
mip1140, 1, 0
mip1141, 1, 0
mip1142, 1, 0
mip1143, 1, 0
mip1144, 1, 0
mip1145, 1, 0
mip1146, 1, 0
mip1147, 1, 0
mip1148, 1, 0
mip1149, 1, 0
mip115, 1, 0
mip1150, 1, 0
mip1151, 1, 0
mip1152, 1, 0
mip1153, 1, 0
mip1154, 1, 0
mip1155, 1, 0
mip1156, 1, 0
mip1157, 1, 0
mip1158, 1, 0
mip1159, 1, 0
mip116, 1, 0
mip1160, 1, 0
mip1161, 1, 0
mip1162, 1, 0
mip1163, 1, 0
mip1164, 1, 0
mip1165, 1, 0
mip1166, 1, 0
mip1167, 1, 0
mip1168, 1, 0
mip1169, 1, 0
mip117, 1, 0
mip1170, 1, 0
mip1171, 1, 0
mip1172, 1, 0
mip1173, 1, 0
mip1174, 1, 0
mip1175, 1, 0
mip1176, 1, 0
mip1177, 1, 0
mip1178, 1, 0
mip1179, 1, 0
mip118, 1, 0
mip1180, 1, 0
mip1181, 1, 0
mip1182, 1, 0
mip1183, 1, 0
mip1184, 1, 0
mip1185, 1, 0
mip1186, 1, 0
mip1187, 1, 0
mip1188, 1, 0
mip1189, 1, 0
mip119, 1, 0
mip1190, 1, 0
mip1191, 1, 0
mip1192, 1, 0
mip1193, 1, 0
mip1194, 1, 0
mip1195, 1, 0
mip1196, 1, 0
mip1197, 1, 0
mip1198, 1, 0
mip1199, 1, 0
mip12, 1, 0
mip120, 1, 0
mip1200, 1, 0
mip1201, 1, 0
mip1202, 1, 0
mip1203, 1, 0
mip1204, 1, 0
mip1205, 1, 0
mip1206, 1, 0
mip1207, 1, 0
mip1208, 1, 0
mip1209, 1, 0
mip121, 1, 0
mip1210, 1, 0
mip1211, 1, 0
mip1212, 1, 0
mip1213, 1, 0
mip1214, 1, 0
mip1215, 1, 0
mip1216, 1, 0
mip1217, 1, 0
mip1218, 1, 0
mip1219, 1, 0
mip122, 1, 0
mip1220, 1, 0
mip1221, 1, 0
mip1222, 1, 0
mip1223, 1, 0
mip1224, 1, 0
mip1225, 1, 0
mip1226, 1, 0
mip1227, 1, 0
mip1228, 1, 0
mip1229, 1, 0
mip123, 1, 0
mip1230, 1, 0
mip1231, 1, 0
mip1232, 1, 0
mip1233, 1, 0
mip1234, 1, 0
mip1235, 1, 0
mip1236, 1, 0
mip1237, 1, 0
mip1238, 1, 0
mip1239, 1, 0
mip124, 1, 0
mip1240, 1, 0
mip1241, 1, 0
mip1242, 1, 0
mip1243, 1, 0
mip1244, 1, 0
mip1245, 1, 0
mip1246, 1, 0
mip1247, 1, 0
mip1248, 1, 0
mip1249, 1, 0
mip125, 1, 0
mip1250, 1, 0
mip1251, 1, 0
mip1252, 1, 0
mip1253, 1, 0
mip1254, 1, 0
mip1255, 1, 0
mip1256, 1, 0
mip1257, 1, 0
mip1258, 1, 0
mip1259, 1, 0
mip126, 1, 0
mip1260, 1, 0
mip1261, 1, 0
mip1262, 1, 0
mip1263, 1, 0
mip1264, 1, 0
mip1265, 1, 0
mip1266, 1, 0
mip1267, 1, 0
mip1268, 1, 0
mip1269, 1, 0
mip127, 1, 0
mip1270, 1, 0
mip1271, 1, 0
mip1272, 1, 0
mip1273, 1, 0
mip1274, 1, 0
mip1275, 1, 0
mip1276, 1, 0
mip1277, 1, 0
mip1278, 1, 0
mip1279, 1, 0
mip128, 1, 0
mip1280, 1, 0
mip1281, 1, 0
mip1282, 1, 0
mip1283, 1, 0
mip1284, 1, 0
mip1285, 1, 0
mip1286, 1, 0
mip1287, 1, 0
mip1288, 1, 0
mip1289, 1, 0
mip129, 1, 0
mip1290, 1, 0
mip1291, 1, 0
mip1292, 1, 0
mip1293, 1, 0
mip1294, 1, 0
mip1295, 1, 0
mip1296, 1, 0
mip1297, 1, 0
mip1298, 1, 0
mip1299, 1, 0
mip13, 1, 0
mip130, 1, 0
mip1300, 1, 0
mip1301, 1, 0
mip1302, 1, 0
mip1303, 1, 0
mip1304, 1, 0
mip1305, 1, 0
mip1306, 1, 0
mip1307, 1, 0
mip1308, 1, 0
mip1309, 1, 0
mip131, 1, 0
mip1310, 1, 0
mip1311, 1, 0
mip1312, 1, 0
mip1313, 1, 0
mip1314, 1, 0
mip1315, 1, 0
mip1316, 1, 0
mip1317, 1, 0
mip1318, 1, 0
mip1319, 1, 0
mip132, 1, 0
mip1320, 1, 0
mip1321, 1, 0
mip1322, 1, 0
mip1323, 1, 0
mip1324, 1, 0
mip1325, 1, 0
mip1326, 1, 0
mip1327, 1, 0
mip1328, 1, 0
mip1329, 1, 0
mip133, 1, 0
mip1330, 1, 0
mip1331, 1, 0
mip1332, 1, 0
mip1333, 1, 0
mip1334, 1, 0
mip1335, 1, 0
mip1336, 1, 0
mip1337, 1, 0
mip1338, 1, 0
mip1339, 1, 0
mip134, 1, 0
mip1340, 1, 0
mip1341, 1, 0
mip1342, 1, 0
mip1343, 1, 0
mip1344, 1, 0
mip1345, 1, 0
mip1346, 1, 0
mip1347, 1, 0
mip1348, 1, 0
mip1349, 1, 0
mip135, 1, 0
mip1350, 1, 0
mip1351, 1, 0
mip1352, 1, 0
mip1353, 1, 0
mip1354, 1, 0
mip1355, 1, 0
mip1356, 1, 0
mip1357, 1, 0
mip1358, 1, 0
mip1359, 1, 0
mip136, 1, 0
mip1360, 1, 0
mip1361, 1, 0
mip1362, 1, 0
mip1363, 1, 0
mip1364, 1, 0
mip1365, 1, 0
mip1366, 1, 0
mip1367, 1, 0
mip1368, 1, 0
mip1369, 1, 0
mip137, 1, 0
mip1370, 1, 0
mip1371, 1, 0
mip1372, 1, 0
mip1373, 1, 0
mip1374, 1, 0
mip1375, 1, 0
mip1376, 1, 0
mip1377, 1, 0
mip1378, 1, 0
mip1379, 1, 0
mip138, 1, 0
mip1380, 1, 0
mip1381, 1, 0
mip1382, 1, 0
mip1383, 1, 0
mip1384, 1, 0
mip1385, 1, 0
mip1386, 1, 0
mip1387, 1, 0
mip1388, 1, 0
mip1389, 1, 0
mip139, 1, 0
mip1390, 1, 0
mip1391, 1, 0
mip1392, 1, 0
mip1393, 1, 0
mip1394, 1, 0
mip1395, 1, 0
mip1396, 1, 0
mip1397, 1, 0
mip1398, 1, 0
mip1399, 1, 0
mip14, 1, 0
mip140, 1, 0
mip1400, 1, 0
mip1401, 1, 0
mip1402, 1, 0
mip1403, 1, 0
mip1404, 1, 0
mip1405, 1, 0
mip1406, 1, 0
mip1407, 1, 0
mip1408, 1, 0
mip1409, 1, 0
mip141, 1, 0
mip1410, 1, 0
mip1411, 1, 0
mip1412, 1, 0
mip1413, 1, 0
mip1414, 1, 0
mip1415, 1, 0
mip1416, 1, 0
mip1417, 1, 0
mip1418, 1, 0
mip1419, 1, 0
mip142, 1, 0
mip1420, 1, 0
mip1421, 1, 0
mip1422, 1, 0
mip1423, 1, 0
mip1424, 1, 0
mip1425, 1, 0
mip1426, 1, 0
mip1427, 1, 0
mip1428, 1, 0
mip1429, 1, 0
mip143, 1, 0
mip1430, 1, 0
mip1431, 1, 0
mip1432, 1, 0
mip1433, 1, 0
mip1434, 1, 0
mip1435, 1, 0
mip1436, 1, 0
mip1437, 1, 0
mip1438, 1, 0
mip1439, 1, 0
mip144, 1, 0
mip1440, 1, 0
mip1441, 1, 0
mip1442, 1, 0
mip1443, 1, 0
mip1444, 1, 0
mip1445, 1, 0
mip1446, 1, 0
mip1447, 1, 0
mip1448, 1, 0
mip1449, 1, 0
mip145, 1, 0
mip1450, 1, 0
mip1451, 1, 0
mip1452, 1, 0
mip1453, 1, 0
mip1454, 1, 0
mip1455, 1, 0
mip1456, 1, 0
mip1457, 1, 0
mip1458, 1, 0
