@RELATION FEATURE_RUNSTATUS_sanitycheck

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE trivialFeatures {ok,timeout,memout,presolved,crash,unknown,other}


@DATA
mip1, 1, ok
mip10, 1, ok
mip100, 1, ok
mip1000, 1, ok
mip10000, 1, ok
mip1001, 1, ok
mip1002, 1, ok
mip1003, 1, ok
mip1004, 1, ok
mip1005, 1, ok
mip1006, 1, ok
mip1007, 1, ok
mip1008, 1, ok
mip1009, 1, ok
mip101, 1, ok
mip1010, 1, ok
mip1011, 1, ok
mip1012, 1, ok
mip1013, 1, ok
mip1014, 1, ok
mip1015, 1, ok
mip1016, 1, ok
mip1017, 1, ok
mip1018, 1, ok
mip1019, 1, ok
mip102, 1, ok
mip1020, 1, ok
mip1021, 1, ok
mip1022, 1, ok
mip1023, 1, ok
mip1024, 1, ok
mip1025, 1, ok
mip1026, 1, ok
mip1027, 1, ok
mip1028, 1, ok
mip1029, 1, ok
mip103, 1, ok
mip1030, 1, ok
mip1031, 1, ok
mip1032, 1, ok
mip1033, 1, ok
mip1034, 1, ok
mip1035, 1, ok
mip1036, 1, ok
mip1037, 1, ok
mip1038, 1, ok
mip1039, 1, ok
mip104, 1, ok
mip1040, 1, ok
mip1041, 1, ok
mip1042, 1, ok
mip1043, 1, ok
mip1044, 1, ok
mip1045, 1, ok
mip1046, 1, ok
mip1047, 1, ok
mip1048, 1, ok
mip1049, 1, ok
mip105, 1, ok
mip1050, 1, ok
mip1051, 1, ok
mip1052, 1, ok
mip1053, 1, ok
mip1054, 1, ok
mip1055, 1, ok
mip1056, 1, ok
mip1057, 1, ok
mip1058, 1, ok
mip1059, 1, ok
mip106, 1, ok
mip1060, 1, ok
mip1061, 1, ok
mip1062, 1, ok
mip1063, 1, ok
mip1064, 1, ok
mip1065, 1, ok
mip1066, 1, ok
mip1067, 1, ok
mip1068, 1, ok
mip1069, 1, ok
mip107, 1, ok
mip1070, 1, ok
mip1071, 1, ok
mip1072, 1, ok
mip1073, 1, ok
mip1074, 1, ok
mip1075, 1, ok
mip1076, 1, ok
mip1077, 1, ok
mip1078, 1, ok
mip1079, 1, ok
mip108, 1, ok
mip1080, 1, ok
mip1081, 1, ok
mip1082, 1, ok
mip1083, 1, ok
mip1084, 1, ok
mip1085, 1, ok
mip1086, 1, ok
mip1087, 1, ok
mip1088, 1, ok
mip1089, 1, ok
mip109, 1, ok
mip1090, 1, ok
mip1091, 1, ok
mip1092, 1, ok
mip1093, 1, ok
mip1094, 1, ok
mip1095, 1, ok
mip1096, 1, ok
mip1097, 1, ok
mip1098, 1, ok
mip1099, 1, ok
mip11, 1, ok
mip110, 1, ok
mip1100, 1, ok
mip1101, 1, ok
mip1102, 1, ok
mip1103, 1, ok
mip1104, 1, ok
mip1105, 1, ok
mip1106, 1, ok
mip1107, 1, ok
mip1108, 1, ok
mip1109, 1, ok
mip111, 1, ok
mip1110, 1, ok
mip1111, 1, ok
mip1112, 1, ok
mip1113, 1, ok
mip1114, 1, ok
mip1115, 1, ok
mip1116, 1, ok
mip1117, 1, ok
mip1118, 1, ok
mip1119, 1, ok
mip112, 1, ok
mip1120, 1, ok
mip1121, 1, ok
mip1122, 1, ok
mip1123, 1, ok
mip1124, 1, ok
mip1125, 1, ok
mip1126, 1, ok
mip1127, 1, ok
mip1128, 1, ok
mip1129, 1, ok
mip113, 1, ok
mip1130, 1, ok
mip1131, 1, ok
mip1132, 1, ok
mip1133, 1, ok
mip1134, 1, ok
mip1135, 1, ok
mip1136, 1, ok
mip1137, 1, ok
mip1138, 1, ok
mip1139, 1, ok
mip114, 1, ok
mip1140, 1, ok
mip1141, 1, ok
mip1142, 1, ok
mip1143, 1, ok
mip1144, 1, ok
mip1145, 1, ok
mip1146, 1, ok
mip1147, 1, ok
mip1148, 1, ok
mip1149, 1, ok
mip115, 1, ok
mip1150, 1, ok
mip1151, 1, ok
mip1152, 1, ok
mip1153, 1, ok
mip1154, 1, ok
mip1155, 1, ok
mip1156, 1, ok
mip1157, 1, ok
mip1158, 1, ok
mip1159, 1, ok
mip116, 1, ok
mip1160, 1, ok
mip1161, 1, ok
mip1162, 1, ok
mip1163, 1, ok
mip1164, 1, ok
mip1165, 1, ok
mip1166, 1, ok
mip1167, 1, ok
mip1168, 1, ok
mip1169, 1, ok
mip117, 1, ok
mip1170, 1, ok
mip1171, 1, ok
mip1172, 1, ok
mip1173, 1, ok
mip1174, 1, ok
mip1175, 1, ok
mip1176, 1, ok
mip1177, 1, ok
mip1178, 1, ok
mip1179, 1, ok
mip118, 1, ok
mip1180, 1, ok
mip1181, 1, ok
mip1182, 1, ok
mip1183, 1, ok
mip1184, 1, ok
mip1185, 1, ok
mip1186, 1, ok
mip1187, 1, ok
mip1188, 1, ok
mip1189, 1, ok
mip119, 1, ok
mip1190, 1, ok
mip1191, 1, ok
mip1192, 1, ok
mip1193, 1, ok
mip1194, 1, ok
mip1195, 1, ok
mip1196, 1, ok
mip1197, 1, ok
mip1198, 1, ok
mip1199, 1, ok
mip12, 1, ok
mip120, 1, ok
mip1200, 1, ok
mip1201, 1, ok
mip1202, 1, ok
mip1203, 1, ok
mip1204, 1, ok
mip1205, 1, ok
mip1206, 1, ok
mip1207, 1, ok
mip1208, 1, ok
mip1209, 1, ok
mip121, 1, ok
mip1210, 1, ok
mip1211, 1, ok
mip1212, 1, ok
mip1213, 1, ok
mip1214, 1, ok
mip1215, 1, ok
mip1216, 1, ok
mip1217, 1, ok
mip1218, 1, ok
mip1219, 1, ok
mip122, 1, ok
mip1220, 1, ok
